"","Atrial cardiomyocytes","Capillary endothelium","Cardiac neural crest cells & Schwann progenitor cells","Endothelium / pericytes / adventitia","Epicardial cells","Epicardium-derived cells","Fibroblast-like (related to cardiac skeleton connective tissue)","Fibroblast-like (related to larger vascular development)","Fibroblast-like (related to smaller vascular development)","Myoz2-enriched cardiomyocytes","Smooth muscle cells / fibroblast-like)","Ventricular cardiomyocytes"
"2951_2332",0.974277537617498,1.36803452368028e-08,0.0257223255790493,1.36803452368028e-08,1.36803452368028e-08,1.36803452367215e-08,1.36803452367215e-08,1.36803452368028e-08,1.36803452368028e-08,1.36803452368028e-08,1.36803452368028e-08,1.36803452368028e-08
"2951_2756",0.996211896060297,1.53904012227192e-08,1.53904012227192e-08,1.53904012227192e-08,0.00378795003569077,1.53904012227192e-08,1.53904012226278e-08,1.53904012227192e-08,1.53904012227192e-08,1.53904012227192e-08,1.53904012227192e-08,1.53904012146183e-08
"2951_4876",0.971144524102024,1.26395786842079e-08,0.0282813455207309,1.26395786842079e-08,1.2639578684283e-08,1.2639578684283e-08,1.2639578684283e-08,1.26395786842079e-08,0.000574016621036533,1.2639578684283e-08,1.26395786842079e-08,1.2639578684283e-08
"2951_5300",0.911987110209688,1.05661061572823e-08,0.00562823554164775,1.05661061572823e-08,0.0503725278193114,0.0211572077472663,1.05661061572823e-08,0.0108548447193431,1.05661061572823e-08,1.05661061572823e-08,1.05661061572823e-08,1.05661061572823e-08
"2951_8692",0.0221925165908048,8.81879372495769e-09,0.018147352378403,8.81879372495769e-09,0.00143584278381793,8.81879372495769e-09,8.81879372495769e-09,8.81879372495769e-09,0.0208325717643396,0.154510834169279,8.81879372490531e-09,0.782880829400594
"2951_9116",0.0970432282747574,0.0392004900977203,0.0625867852884955,9.78296313410869e-09,9.78296313410869e-09,9.78296313410869e-09,9.78296313410869e-09,9.78296313410869e-09,0.15491393627882,0.210968435881057,9.78296313410869e-09,0.435287065481371
"2951_9540",0.0722199905953482,8.47996274813542e-09,8.47996274813542e-09,8.47996274813542e-09,8.47996274813542e-09,8.47996274813542e-09,8.47996274813542e-09,8.47996274813542e-09,0.0761973384620165,0.0898429593654311,8.47996274813542e-09,0.761739643737502
"2951_9964",0.048413248143461,0.0125872373920884,8.97584424301271e-09,8.97584424301271e-09,0.00955231854831875,8.97584424301271e-09,8.97584424301271e-09,8.97584424301271e-09,8.97584424301271e-09,0.204346213527288,8.9758442429594e-09,0.725100919557934
"2951_10388",0.126749135408211,0.0108037871135933,0.022227757266339,8.723688962339e-09,0.000510476878704183,8.723688962339e-09,8.723688962339e-09,8.723688962339e-09,8.723688962339e-09,0.399849099267841,8.723688962339e-09,0.439859691723178
"2951_10812",0.0722093946598795,8.21918395997041e-09,0.0034461618827615,8.21918395997041e-09,0.0123807226785477,8.21918395997041e-09,8.21918395997041e-09,8.21918395997041e-09,8.21918395997041e-09,0.317022229488919,8.21918395997041e-09,0.594941433755605
